P,N,Insertion Speedup, Iteration Speedup, Extraction Speedup
1,1048576,0.39232057141303356,0.016211515878248012,0.3965308070911085
2,1048576,0.5215353208262442,0.01181136656778187,0.5959863350697541
3,1048576,0.9659998583877333,0.010624272576026259,1.1269609612400857
4,1048576,1.0097879631969868,0.011981507619722451,1.3984862484020806
5,1048576,1.5598226121989085,0.009849122724002166,1.738071204176052
6,1048576,1.0905933746357328,0.012867043749329544,1.6600846468415955
7,1048576,1.7468575950395941,0.01388243097797428,1.8839189653386614
8,1048576,1.7734414770872036,0.018523176121847115,2.384865371239687
9,1048576,2.196546989809724,0.017530133434283477,2.1163518374283736
10,1048576,2.1213788616718134,0.016126159094173465,2.264004182170562
11,1048576,2.621436722867484,0.01800296559779079,2.8968779942133165
12,1048576,2.203853379489668,0.015621322411059572,3.0564529556724205
13,1048576,2.430410735720372,0.018452250324080342,2.5578763832287144
14,1048576,2.3482272710202716,0.020522821506961587,2.940552073722958
15,1048576,2.670617190127085,0.024511539396965647,3.3706293142047414
16,1048576,2.899542017347177,0.02614058006970504,3.4967226952900927
