P,N,Insertion Speedup, Iteration Speedup, Extraction Speedup
1,65536,0.40740074546471433,0.027994445909940248,0.5078792468257692
2,131072,0.46571533446007146,0.010582034622200009,0.5049134003152453
3,196608,0.7268619253641346,0.012256136277359338,0.9483518043636734
4,262144,1.0065775531664318,0.014228822499644592,1.2387351602180952
5,327680,1.3934179565030225,0.008024336262366863,1.4569207557383013
6,393216,1.3833156902832138,0.00932434019113796,1.6553786001582702
7,458752,1.9201548500017516,0.008198262024076884,1.9719230773789889
8,524288,1.3779647147823122,0.008701063562862054,1.9118823120781359
9,589824,1.860559836400486,0.0243093131493385,2.1366374715024485
10,655360,2.2298700267883893,0.015186507523688952,2.6836445993970077
11,720896,2.2761068285132713,0.01827634150887235,3.076999666734002
12,786432,2.291233576994495,0.016482860584732563,2.719661172895614
13,851968,2.8595463769988223,0.015478607723863221,3.5184657229275613
14,917504,2.670039197750004,0.026411828810422738,3.0129004948408005
15,983040,3.325176670239987,0.022795962223573798,3.8043708270841297
16,1048576,3.681654514699051,0.025391032543435207,4.167966798859713
